team,games_available,win_rate,draw_rate,loss_rate,avg_goals_for,avg_goals_against,avg_goal_diff
Eritrea,10,0.0,0.1,0.9,0.4,2.1,-1.7
Estonia,10,0.3,0.3,0.4,1.0,1.8,-0.8
Eswatini,10,0.0,0.5,0.5,0.7,2.4,-1.7
Ethiopia,10,0.4,0.1,0.5,1.2,1.4,-0.2
Falkland Islands,10,0.0,0.1,0.9,0.7,3.3,-2.6
Faroe Islands,10,0.7,0.0,0.3,1.4,0.8,0.6
Felvidék,10,0.4,0.2,0.4,1.1,1.6,-0.5
Fiji,10,0.1,0.3,0.6,0.7,2.8,-2.1
Finland,10,0.3,0.1,0.6,1.1,1.7,-0.6
France,10,0.8,0.1,0.1,2.5,0.9,1.6
Franconia,3,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,3.6666666666666665,-1.0
French Guiana,10,0.3,0.2,0.5,1.7,1.5,0.2
Frøya,10,0.1,0.1,0.8,1.3,3.9,-2.6
Gabon,10,0.3,0.2,0.5,1.8,1.9,-0.1
Galicia,10,0.3,0.3,0.4,1.3,2.1,-0.8
Gambia,10,0.4,0.2,0.4,2.2,1.6,0.6
Georgia,10,0.3,0.2,0.5,1.4,1.8,-0.4
German DR,10,0.7,0.1,0.2,1.9,1.3,0.6
Germany,10,0.9,0.0,0.1,2.8,0.8,2.0
Ghana,10,0.3,0.2,0.5,1.1,1.4,-0.3
Gibraltar,10,0.3,0.0,0.7,1.4,1.9,-0.5
Gotland,10,0.3,0.0,0.7,2.9,1.9,1.0
Gozo,10,0.4,0.2,0.4,2.6,1.4,1.2
Greece,10,0.2,0.3,0.5,1.2,1.6,-0.4
Greenland,10,0.4,0.3,0.3,1.4,2.2,-0.8
Grenada,10,0.5,0.0,0.5,1.7,2.1,-0.4
Guadeloupe,10,0.5,0.1,0.4,1.5,1.1,0.4
Guam,10,0.2,0.1,0.7,1.4,2.8,-1.4
Guatemala,10,0.2,0.2,0.6,1.0,2.4,-1.4
Guernsey,10,0.6,0.0,0.4,2.3,1.0,1.3
Guinea,10,0.3,0.4,0.3,1.2,0.9,0.3
Guinea-Bissau,10,0.1,0.2,0.7,0.6,1.7,-1.1
Guyana,10,0.8,0.0,0.2,2.6,1.2,1.4
Găgăuzia,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.0,-2.3333333333333335
Haiti,10,0.4,0.3,0.3,1.5,1.0,0.5
Hitra,10,0.4,0.1,0.5,2.3,2.9,-0.6
Hmong,3,0.3333333333333333,0.0,0.6666666666666666,2.0,3.3333333333333335,-1.3333333333333333
Honduras,10,0.2,0.5,0.3,0.8,0.8,0.0
Hong Kong,10,0.4,0.3,0.3,1.9,1.1,0.8
Hungary,10,0.5,0.3,0.2,1.7,1.2,0.5
Iceland,10,0.1,0.3,0.6,1.1,2.2,-1.1
India,10,0.0,0.3,0.7,0.4,1.4,-1.0
Indonesia,10,0.5,0.1,0.4,1.7,1.1,0.6
Iran,10,0.5,0.2,0.3,1.7,0.6,1.1
Iraq,10,0.5,0.2,0.3,1.1,1.0,0.1
Iraqi Kurdistan,10,0.3,0.6,0.1,2.3,0.9,1.4
Isle of Man,10,0.7,0.0,0.3,3.5,1.2,2.3
Isle of Wight,10,0.7,0.1,0.2,1.9,0.9,1.0
Israel,10,0.5,0.2,0.3,1.9,1.7,0.2
Italy,10,0.8,0.1,0.1,2.4,1.0,1.4
Ivory Coast,10,0.7,0.1,0.2,1.9,0.8,1.1
Jamaica,10,0.4,0.2,0.4,0.9,0.8,0.1
Japan,10,0.7,0.2,0.1,1.9,0.6,1.3
Jersey,10,0.8,0.1,0.1,2.7,1.0,1.7
Jordan,10,0.5,0.2,0.3,1.7,1.5,0.2
Kabylia,6,0.16666666666666666,0.3333333333333333,0.5,1.3333333333333333,2.5,-1.1666666666666667
Kazakhstan,10,0.3,0.3,0.4,1.1,1.4,-0.3
Kenya,10,0.4,0.3,0.3,1.4,1.7,-0.3
Kernow,10,0.7,0.2,0.1,2.7,0.9,1.8
Kiribati,10,0.0,0.1,0.9,0.7,10.2,-9.5
Kosovo,10,0.5,0.2,0.3,1.4,1.1,0.3
Kurdistan,5,0.8,0.2,0.0,2.4,0.4,2.0
Kuwait,10,0.2,0.4,0.4,1.5,2.2,-0.7
Kyrgyzstan,10,0.1,0.4,0.5,1.0,1.7,-0.7
Kárpátalja,10,0.5,0.4,0.1,2.4,1.2,1.2
Laos,10,0.1,0.2,0.7,1.1,2.9,-1.8
Latvia,10,0.0,0.5,0.5,0.5,1.4,-0.9
Lebanon,10,0.5,0.3,0.2,2.1,0.5,1.6
Lesotho,10,0.2,0.3,0.5,0.7,1.9,-1.2
Liberia,10,0.3,0.3,0.4,1.3,1.5,-0.2
Libya,10,0.3,0.6,0.1,1.1,0.9,0.2
Liechtenstein,10,0.1,0.0,0.9,0.3,3.3,-3.0
Lithuania,10,0.1,0.3,0.6,0.7,1.6,-0.9
Luhansk PR,6,0.3333333333333333,0.16666666666666666,0.5,1.5,2.0,-0.5
Luxembourg,10,0.1,0.1,0.8,0.2,1.5,-1.3
Macau,10,0.0,0.1,0.9,0.3,2.8,-2.5
Madagascar,10,0.5,0.1,0.4,1.7,1.9,-0.2
Madrid,1,0.0,0.0,1.0,1.0,2.0,-1.0
Malawi,10,0.3,0.3,0.4,0.9,0.9,0.0
Malaysia,10,0.7,0.2,0.1,1.9,0.6,1.3
Maldives,10,0.1,0.1,0.8,0.6,2.0,-1.4
Mali,10,0.3,0.5,0.2,1.2,0.9,0.3
Malta,10,0.3,0.2,0.5,1.1,2.3,-1.2
Manchukuo,3,0.0,0.0,1.0,0.0,5.333333333333333,-5.333333333333333
Mapuche,2,0.5,0.0,0.5,1.5,1.0,0.5
Marshall Islands,2,0.0,0.0,1.0,1.0,3.5,-2.5
Martinique,10,0.1,0.4,0.5,0.6,1.2,-0.6
Matabeleland,8,0.375,0.25,0.375,0.875,1.75,-0.875
Maule Sur,2,1.0,0.0,0.0,1.0,0.0,1.0
Mauritania,10,0.2,0.4,0.4,0.6,1.1,-0.5
Mauritius,10,0.1,0.3,0.6,0.6,1.5,-0.9
Mayotte,10,0.5,0.2,0.3,1.2,0.8,0.4
Menorca,10,0.4,0.2,0.4,1.8,1.2,0.6
Mexico,10,0.6,0.3,0.1,1.6,0.4,1.2
Micronesia,7,0.14285714285714285,0.0,0.8571428571428571,1.1428571428571428,8.428571428571429,-7.285714285714286
Moldova,10,0.0,0.3,0.7,0.9,3.2,-2.3
Monaco,10,0.3,0.2,0.5,1.3,2.9,-1.6
Mongolia,10,0.2,0.0,0.8,0.5,2.4,-1.9
Montenegro,10,0.4,0.1,0.5,1.3,2.0,-0.7
Montserrat,10,0.2,0.0,0.8,0.6,2.0,-1.4
Morocco,10,0.7,0.3,0.0,2.2,0.3,1.9
Mozambique,10,0.3,0.1,0.6,1.0,1.5,-0.5
Myanmar,10,0.4,0.2,0.4,1.6,2.4,-0.8
Namibia,10,0.2,0.2,0.6,0.7,1.6,-0.9
Nepal,10,0.2,0.3,0.5,0.7,1.1,-0.4
Netherlands,10,0.6,0.3,0.1,2.2,0.8,1.4
New Caledonia,10,0.6,0.2,0.2,2.3,1.0,1.3
New Zealand,10,0.1,0.1,0.8,0.7,1.8,-1.1
Nicaragua,10,0.1,0.2,0.7,0.5,2.2,-1.7
Niger,10,0.3,0.3,0.4,0.9,1.3,-0.4
Nigeria,10,0.5,0.4,0.1,1.8,0.7,1.1
Niue,2,0.0,0.0,1.0,0.0,16.5,-16.5
North Korea,10,0.0,0.4,0.6,1.0,2.1,-1.1
North Macedonia,10,0.1,0.5,0.4,0.8,1.8,-1.0
North Vietnam,10,0.4,0.3,0.3,2.5,1.5,1.0
Northern Cyprus,10,0.5,0.5,0.0,2.8,0.8,2.0
Northern Ireland,10,0.4,0.1,0.5,1.0,1.2,-0.2
Northern Mariana Islands,10,0.2,0.2,0.6,1.0,4.4,-3.4
Norway,10,0.6,0.3,0.1,3.1,0.8,2.3
Occitania,10,0.7,0.3,0.0,3.3,0.6,2.7
Oman,10,0.2,0.4,0.4,0.7,1.1,-0.4
Orkney,10,0.5,0.1,0.4,1.9,1.8,0.1
Padania,10,0.5,0.2,0.3,2.5,0.9,1.6
Pakistan,10,0.3,0.2,0.5,0.8,1.5,-0.7
Palau,2,0.0,0.0,1.0,2.0,10.5,-8.5
Palestine,10,0.1,0.6,0.3,0.5,0.9,-0.4
Panama,10,0.4,0.4,0.2,1.8,1.6,0.2
Panjab,10,0.4,0.2,0.4,3.0,1.4,1.6
Papua New Guinea,10,0.5,0.3,0.2,1.8,1.5,0.3
Paraguay,10,0.4,0.2,0.4,1.2,1.0,0.2
Parishes of Jersey,3,0.6666666666666666,0.0,0.3333333333333333,3.6666666666666665,1.3333333333333333,2.3333333333333335
Peru,10,0.1,0.3,0.6,0.8,1.7,-0.9
Philippines,10,0.8,0.1,0.1,2.9,1.1,1.8
Poland,10,0.5,0.3,0.2,1.7,1.3,0.4
Portugal,10,0.7,0.2,0.1,2.6,0.9,1.7
Provence,10,0.4,0.0,0.6,5.5,2.0,3.5
Puerto Rico,10,0.3,0.2,0.5,1.1,1.9,-0.8
Qatar,10,0.1,0.4,0.5,0.7,1.5,-0.8
Quebec,3,0.6666666666666666,0.0,0.3333333333333333,8.0,0.6666666666666666,7.333333333333333
Raetia,10,0.2,0.4,0.4,2.5,3.2,-0.7
Republic of Ireland,10,0.5,0.3,0.2,1.6,0.8,0.8
Republic of St. Pauli,4,0.25,0.25,0.5,2.5,1.25,1.25
Rhodes,10,0.7,0.0,0.3,1.7,0.9,0.8
Romani people,7,0.2857142857142857,0.0,0.7142857142857143,1.8571428571428572,3.7142857142857144,-1.8571428571428572
Romania,10,0.4,0.2,0.4,1.6,1.5,0.1
Russia,10,0.6,0.2,0.2,1.9,0.7,1.2
Rwanda,10,0.3,0.1,0.6,0.8,1.2,-0.4
Ryūkyū,1,0.0,0.0,1.0,0.0,9.0,-9.0
Réunion,10,0.5,0.3,0.2,1.6,0.6,1.0
Saare County,10,0.3,0.2,0.5,1.6,2.1,-0.5
Saarland,9,0.1111111111111111,0.2222222222222222,0.6666666666666666,1.1111111111111112,2.888888888888889,-1.7777777777777777
Saint Barthélemy,10,0.4,0.1,0.5,2.5,3.0,-0.5
Saint Helena,8,0.0,0.0,1.0,0.75,5.125,-4.375
Saint Kitts and Nevis,10,0.4,0.1,0.5,2.1,2.7,-0.6
Saint Lucia,10,0.3,0.0,0.7,0.9,3.1,-2.2
Saint Martin,10,0.5,0.0,0.5,1.7,1.7,0.0
Saint Pierre and Miquelon,7,0.0,0.0,1.0,0.2857142857142857,11.142857142857142,-10.857142857142858
Saint Vincent and the Grenadines,10,0.6,0.1,0.3,2.6,1.1,1.5
Samoa,10,0.4,0.0,0.6,1.2,3.0,-1.8
San Marino,10,0.0,0.1,0.9,0.5,3.7,-3.2
Sark,4,0.0,0.0,1.0,0.0,17.5,-17.5
Saudi Arabia,10,0.4,0.1,0.5,1.2,1.3,-0.1
Saugeais,1,0.0,1.0,0.0,1.0,1.0,0.0
Scotland,10,0.6,0.1,0.3,2.1,1.0,1.1
Sealand,10,0.4,0.4,0.2,2.4,2.5,-0.1
Seborga,1,0.0,0.0,1.0,2.0,3.0,-1.0
Senegal,10,0.6,0.2,0.2,1.6,0.9,0.7
Serbia,10,0.4,0.0,0.6,0.9,2.2,-1.3
Seychelles,10,0.0,0.0,1.0,0.2,5.3,-5.1
Shetland,10,0.3,0.2,0.5,1.8,2.0,-0.2
Sierra Leone,10,0.4,0.2,0.4,1.1,1.1,0.0
Silesia,8,0.375,0.25,0.375,3.0,2.125,0.875
Singapore,10,0.5,0.2,0.3,1.9,1.3,0.6
Sint Maarten,10,0.5,0.2,0.3,1.3,2.2,-0.9
Slovakia,10,0.6,0.1,0.3,1.5,1.5,0.0
Slovenia,10,0.1,0.5,0.4,0.8,1.4,-0.6
Solomon Islands,10,0.2,0.0,0.8,1.6,2.9,-1.3
Somalia,10,0.1,0.2,0.7,0.4,1.7,-1.3
Somaliland,6,0.3333333333333333,0.16666666666666666,0.5,2.3333333333333335,3.3333333333333335,-1.0
South Africa,10,0.5,0.2,0.3,1.5,1.0,0.5
South Korea,10,0.6,0.1,0.3,1.5,1.2,0.3
South Ossetia,10,0.4,0.2,0.4,1.3,2.2,-0.9
South Sudan,10,0.1,0.3,0.6,0.6,2.0,-1.4
South Yemen,3,0.0,0.0,1.0,0.3333333333333333,2.6666666666666665,-2.3333333333333335
Spain,10,0.7,0.3,0.0,2.8,0.4,2.4
Sri Lanka,10,0.4,0.1,0.5,0.9,1.5,-0.6
Sudan,10,0.2,0.1,0.7,0.5,1.7,-1.2
Suriname,10,0.2,0.4,0.4,1.3,1.4,-0.1
Surrey,1,1.0,0.0,0.0,3.0,1.0,2.0
Sweden,10,0.2,0.3,0.5,1.3,2.0,-0.7
Switzerland,10,0.5,0.4,0.1,2.2,0.8,1.4
Syria,10,0.5,0.3,0.2,2.0,0.9,1.1
Székely Land,10,0.3,0.2,0.5,2.1,2.2,-0.1
Sápmi,10,0.3,0.0,0.7,1.1,2.0,-0.9
São Tomé and Príncipe,10,0.1,0.2,0.7,0.6,2.1,-1.5
Tahiti,10,0.5,0.1,0.4,1.2,1.4,-0.2
Taiwan,10,0.2,0.0,0.8,1.4,2.9,-1.5
Tajikistan,10,0.7,0.2,0.1,2.2,1.1,1.1
Tamil Eelam,10,0.8,0.0,0.2,2.7,1.3,1.4
Tanzania,10,0.1,0.2,0.7,1.2,1.4,-0.2
Thailand,10,0.6,0.2,0.2,2.3,0.9,1.4
Tibet,10,0.0,0.2,0.8,1.6,4.1,-2.5
Ticino,2,0.0,0.0,1.0,1.0,6.5,-5.5
Timor-Leste,10,0.1,0.0,0.9,0.6,3.5,-2.9
Togo,10,0.3,0.4,0.3,1.2,1.1,0.1
Tonga,10,0.2,0.0,0.8,1.2,4.5,-3.3
Trinidad and Tobago,10,0.1,0.4,0.5,1.0,2.3,-1.3
Tunisia,10,0.3,0.4,0.3,1.3,1.4,-0.1
Turkey,10,0.8,0.1,0.1,2.5,1.3,1.2
Turkmenistan,10,0.5,0.1,0.4,1.6,1.4,0.2
Turks and Caicos Islands,10,0.2,0.4,0.4,0.9,1.8,-0.9
Tuvalu,10,0.2,0.1,0.7,1.3,5.6,-4.3
Two Sicilies,6,0.16666666666666666,0.0,0.8333333333333334,0.5,3.0,-2.5
Uganda,10,0.4,0.2,0.4,1.4,1.5,-0.1
Ukraine,10,0.5,0.1,0.4,1.5,1.6,-0.1
United Arab Emirates,10,0.3,0.3,0.4,1.2,1.4,-0.2
United Koreans in Japan,10,0.2,0.6,0.2,1.9,0.8,1.1
United States,10,0.5,0.1,0.4,1.8,1.7,0.1
United States Virgin Islands,10,0.2,0.4,0.4,1.5,2.0,-0.5
Uruguay,10,0.4,0.4,0.2,1.0,0.9,0.1
Uzbekistan,10,0.4,0.3,0.3,1.4,0.9,0.5
Vanuatu,10,0.4,0.2,0.4,1.6,2.2,-0.6
Vatican City,8,0.0,0.375,0.625,0.75,2.625,-1.875
Venezuela,10,0.3,0.1,0.6,1.1,1.7,-0.6
Vietnam,10,0.9,0.0,0.1,2.4,1.0,1.4
Vietnam Republic,10,0.2,0.2,0.6,1.0,2.0,-1.0
Wales,10,0.3,0.3,0.4,1.5,1.4,0.1
Wallis Islands and Futuna,10,0.1,0.0,0.9,0.7,5.8,-5.1
West Papua,2,0.0,0.5,0.5,1.5,4.5,-3.0
Western Armenia,10,0.4,0.2,0.4,2.0,1.3,0.7
Western Australia,10,0.3,0.2,0.5,1.4,1.7,-0.3
Western Isles,10,0.3,0.1,0.6,1.1,1.9,-0.8
Western Sahara,9,0.2222222222222222,0.1111111111111111,0.6666666666666666,1.7777777777777777,4.222222222222222,-2.4444444444444446
Yemen,10,0.5,0.3,0.2,2.8,1.0,1.8
Yemen DPR,10,0.1,0.3,0.6,1.0,2.4,-1.4
Ynys Môn,10,0.9,0.0,0.1,2.1,1.0,1.1
Yorkshire,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,3.857142857142857,1.5714285714285714,2.2857142857142856
Yoruba Nation,2,0.0,0.5,0.5,0.5,1.0,-0.5
Yugoslavia,10,0.4,0.2,0.4,2.1,1.3,0.8
Zambia,10,0.1,0.2,0.7,0.5,2.3,-1.8
Zanzibar,10,0.6,0.2,0.2,1.3,0.8,0.5
Zimbabwe,10,0.3,0.2,0.5,1.1,1.3,-0.2
Åland Islands,10,0.2,0.4,0.4,0.8,1.4,-0.6
